u,g,r,i,z,y,redshift,mstar
26.749,26.4335,25.8102,25.4434,25.4297,25.4305,0.587778,7.92621224167818
27.8578,27.9111,26.6409,26.2178,26.3508,25.4722,0.384914,7.58073343351372
27.4884,27.627,27.399,26.926,26.6824,25.7845,1.97441,9.67419035877115
24.7751,24.0683,23.2006,22.8536,22.6197,22.4375,0.298238,8.83210316882425
27.3584,27.8837,27.5425,26.4136,26.0275,26.2541,0.92278,8.54505710866367
28.3656,28.0491,27.3213,26.8,26.8865,26.2017,0.798691,7.80256849831396
26.3213,26.3799,26.2585,26.0671,26.3927,26.0285,0.668786,7.35129952072691
26.0521,25.7098,24.8244,23.9559,23.3985,23.1938,0.938424,9.75977885882815
27.0146,27.2992,26.6599,26.2454,25.2059,25.158,1.26254,9.36014639414472
26.4895,25.9134,25.512,25.0835,24.7296,23.8064,1.37464,9.71118274548605
29.0982,28.7265,28.2168,26.4986,25.7063,25.2179,1.77027,10.8225152453463
26.9655,26.7014,26.9322,26.484,26.384,27.092,0.631188,6.6110942405692
29.6566,26.6171,24.9738,23.757,23.3008,23.0436,0.729556,9.98631033119303
28.2306,27.1464,26.8093,26.6092,26.494,26.2739,0.387395,7.14828175057887
26.934,26.5557,25.7624,25.0394,24.506,24.2205,0.941352,9.20486036615547
27.3277,26.6716,26.0276,25.8302,25.6069,25.3157,0.530199,7.82133597506433
26.7006,26.14,25.2873,24.9672,24.9189,24.8172,0.40655,8.00542505614636
27.5597,28.2672,27.1581,26.6163,26.2935,26.9962,0.878187,8.26925135479613
24.67,24.1938,23.165,22.2446,21.6539,21.4048,0.913381,10.6495889342865
28.7956,28.7765,27.5702,26.774,26.9192,25.857,0.655623,8.44219118878648
25.2778,22.7814,21.0775,19.9973,19.5359,19.1993,0.566138,11.5368802567188
27.3311,27.4445,27.0237,26.6498,26.9186,99,0.600899,6.90954212303759
27.6346,26.9898,25.9376,25.3611,25.0863,24.8772,0.537543,8.43590008201031
26.8925,26.2146,26.2394,25.9324,26.0442,25.9775,1.21062,8.50018705797713
26.2422,25.5778,24.1477,22.8802,22.2751,21.9584,0.853871,10.6097704388764
24.8283,23.8542,23.0208,22.8489,22.5727,22.6829,0.294452,8.4728909574158
27.5992,27.2236,26.5359,25.9305,25.6581,25.7321,0.822825,8.4308584018457
28.5786,27.1036,26.425,25.8278,25.6608,24.8347,1.51626,9.15905861462752
27.6937,28.2677,27.3842,26.6325,26.1743,25.6465,1.34205,8.84150587935959
27.1565,27.7074,26.8996,26.3172,25.8096,25.6558,0.839955,7.99773228406691
27.3301,27.4344,26.5173,25.8249,25.0461,24.7848,0.932928,9.10696221542077
27.496,26.8402,26.5688,26.3739,25.8496,99,0.564035,7.46675050810083
99,27.6983,26.6583,26.0186,25.8076,27.7873,0.348702,7.7910664724331
25.3707,25.4012,25.4552,25.1567,24.7544,24.7134,1.12977,8.61492356805413
25.2168,23.9211,22.5571,21.9591,21.6841,21.2703,0.510801,9.89536065742895
33.0929,28.443,27.4848,26.1751,25.0331,24.3763,1.58104,10.9553769478368
23.5754,22.6737,21.6359,21.3695,21.1063,21.0369,0.380297,9.50578738036258
28.0286,27.1744,26.7193,26.0242,26.0475,25.8323,0.777292,8.16110734734154
27.7171,26.6704,25.705,25.4285,25.1718,25.3422,0.43324,8.01762174361427
25.5864,24.1097,22.471,21.6739,21.2453,20.8917,0.479109,10.5024148284572
26.5882,26.4773,25.0225,23.7875,22.9647,22.4971,0.962814,10.7390127013262
24.8601,24.918,24.6848,24.2925,24.1114,24.18,0.740521,8.31702856584931
26.9492,26.552,25.6898,25.3447,25.3088,24.9809,0.439691,7.90232930585832
28.4879,28.6851,27.5382,26.9756,26.5603,99,0.657162,7.48861275413813
30.153,27.9032,27.2141,26.5357,26.3432,26.0854,0.711314,7.89668050791538
99,27.9901,26.8834,26.6624,26.4923,25.8103,0.385228,7.37582815753721
99,28.3507,27.6618,26.9771,27.6572,27.3727,0.534195,7.36570320683564
25.7708,24.1211,23.0632,22.6439,22.4576,22.2692,0.238254,8.93494110495281
26.9069,26.4328,25.7013,24.7995,24.455,24.4618,0.794004,9.00030823967001
28.1743,27.351,27.1015,26.8017,26.5288,25.6276,1.60753,9.3036733029654
24.1356,23.1588,21.7594,21.1437,20.7437,20.4777,0.384364,10.4150084241855
28.3583,27.7102,27.4728,26.4577,25.9223,28.0132,0.842445,8.18819701655875
99,31.9986,28.2481,26.9524,26.285,28.7545,0.671397,8.10769149804031
26.4708,26.1703,25.3141,25.023,24.7794,24.4656,0.481168,8.12028759729055
27.7465,27.4795,26.9094,26.0539,25.3603,25.2033,1.06745,8.56191551878877
26.2053,24.8696,23.2674,22.3988,22.008,21.7095,0.533651,10.1944921409581
28.3252,26.8218,25.9668,25.6654,25.4357,25.177,0.538715,7.94986941775559
27.9504,27.2077,26.0425,25.5936,25.7752,25.3028,0.515193,7.92195165221724
26.0591,25.502,24.8258,24.1058,23.6564,22.8941,1.30808,10.57025448191
26.7145,26.849,26.7991,26.5988,26.8795,27.9214,1.13162,7.26452268573559
26.2384,25.7179,25.0144,24.7491,24.5661,24.6348,0.375207,7.83260406386697
24.7548,24.0676,23.1212,22.8911,22.6777,22.6971,0.407887,8.79176431146508
28.3812,27.5514,27.4292,26.9145,26.66,26.7805,1.31154,8.53389529006491
24.3154,23.6244,22.9298,22.7337,22.5191,22.471,0.306942,8.53407181885886
99,27.3172,26.2379,25.8283,25.411,25.2122,0.436205,8.11285290755318
26.0037,25.3289,24.3798,23.7349,23.5491,23.3703,0.627454,9.14391370250961
30.3402,27.9522,27.5599,26.9255,26.6855,26.5542,1.28628,8.52755514939417
28.7627,27.3097,26.566,26.2125,25.733,25.3472,0.306153,7.33639168237715
25.8406,25.3935,24.9452,24.9727,24.6371,25.1257,0.290518,7.25927126318566
28.6811,28.6481,28.0974,26.9049,26.9066,26.5725,0.633984,8.2800818801962
27.2809,26.162,25.1251,24.9536,24.776,24.6241,0.407171,7.94517748074434
28.2846,28.819,26.9716,26.7666,26.4416,99,0.481239,7.35680000937782
27.2125,27.3066,26.9234,26.2332,26.1089,27.0042,0.905386,7.99337008924583
27.9179,27.1116,26.9646,25.8705,26.0238,25.5495,0.841645,8.4883871202372
28.2694,27.8871,26.3282,25.3809,24.7708,24.5552,0.902625,9.53843422445884
26.5277,27.346,26.6348,26.7827,26.4734,27.0572,0.325875,7.00676972824547
27.7603,27.1476,27.0173,26.3089,25.877,25.7524,1.25729,8.7925576703446
27.1672,26.9292,26.1401,25.2221,25.0025,24.6726,0.799136,8.69903601208081
27.1314,26.5043,26.0684,25.5108,25.4016,25.6522,0.695535,8.07910523786238
26.7635,27.2813,26.6027,25.8334,25.436,25.1172,0.979077,8.47892705558293
29.3938,99,27.6609,26.8218,26.6724,25.7368,0.711743,8.32775523882776
27.3436,28.6422,27.9469,26.9319,26.9755,27.3856,0.733645,7.55764432588151
28.8691,28.89,27.6827,26.5335,25.1759,24.5302,1.85788,11.3964852942842
28.2546,26.7231,25.8132,25.3079,24.6281,24.4263,1.13459,9.32020862055824
26.9376,26.0677,25.1378,24.1482,23.8249,23.5657,0.749427,9.43543662556543
28.8602,29.2235,27.856,26.9119,26.8494,25.3049,0.955076,8.78075570661912
26.1844,26.0069,25.3706,24.7326,24.1697,23.6723,0.997761,9.53100860256336
